Base_ID	url	domain	webMethod	type	pageDepth	gatewayType	validateParsedOutput	fetchNextCrawlUrl	uniqueIdentifier	region_input	search_keyword	Channel	scope_name	category_input	Top_Category_LVMH	Category_LVMH	Sub_Category_LVMH	Project	Batch	SubBatch	Scrape_Frequency	Partner_Name	ip_search_keyword_category	ip_filter_by_category	site_name	no_of_pages
247	https://www.macys.com/shop/womens/clothing/coats?id=269								247		n/a	Mobile	Micheal Kors POC	n/a	Women's	Clothing	Coats & Jackets		US	Macys			n/a	n/a		
248	https://www.macys.com/shop/womens/handbags-wallets-accessories/handbags?id=27686								248		n/a	Mobile	Micheal Kors POC	n/a	Women's	Handbags	Handbags		US	Macys			n/a	n/a		
249	https://www.macys.com/shop/womens/handbags-wallets-accessories/accessories/sunglasses?id=28295								249		n/a	Mobile	Micheal Kors POC	n/a	Women's	Accessories	Sunglasses		US	Macys			n/a	n/a		
250	https://www.macys.com/shop/womens/all-womens-shoes?id=56233								250		n/a	Mobile	Micheal Kors POC	n/a	Women's	Shoes	Shoes		US	Macys			n/a	n/a		
251	https://www.macys.com/shop/mens/clothing/coats?id=3763								251		n/a	Mobile	Micheal Kors POC	n/a	Men's	Clothing	Coats & Jackets		US	Macys			n/a	n/a		
252	https://www.macys.com/shop/jewelry-watches/watches/mens?id=57386								252		n/a	Mobile	Micheal Kors POC	n/a	Men's	Accessories	Watches		US	Macys			n/a	n/a		
253	https://www.macys.com/shop/makeup-and-perfume/all-fragrance/cologne-for-men?id=30088								253		n/a	Mobile	Micheal Kors POC	n/a	Men's	Fragrance	Fragrance		US	Macys			n/a	n/a		
254	https://www.macys.com/shop/featured/crossbody-bag?ss=true								254		crossbody bag	Mobile	Micheal Kors POC	n/a	Women's	Handbags	n/a		US	Macys			n/a	n/a		
255	https://www.macys.com/shop/featured/shoulder-bag?ss=true								255		shoulder bag	Mobile	Micheal Kors POC	n/a	Women's	Handbags	n/a		US	Macys			n/a	n/a		
256	https://www.macys.com/shop/featured/women%27s-puffer-jacket?ss=true								256		women's puffer jacket	Mobile	Micheal Kors POC	n/a	Women's	Clothing	n/a		US	Macys			n/a	n/a		
257	https://www.macys.com/shop/featured/women%27s-coat?ss=true								257		women's coat	Mobile	Micheal Kors POC	n/a	Women's	Clothing	n/a		US	Macys			n/a	n/a		
258	https://www.macys.com/shop/featured/women%27s-sunglasses?ss=true								258		women's sunglasses	Mobile	Micheal Kors POC	n/a	Women's	Accessories	n/a		US	Macys			n/a	n/a		
259	https://www.macys.com/shop/womens/all-womens-shoes?id=56233&cm_kws=women%27s-shoes								259		women's shoes	Mobile	Micheal Kors POC	n/a	Women's	Shoes	n/a		US	Macys			n/a	n/a		
260	https://www.macys.com/shop/featured/men%27s-coat?ss=true								260		men's coat	Mobile	Micheal Kors POC	n/a	Men's	Clothing	n/a		US	Macys			n/a	n/a		
261	https://www.macys.com/shop/featured/men%27s-puffer-jacket?ss=true								261		men's puffer jacket	Mobile	Micheal Kors POC	n/a	Men's	Clothing	n/a		US	Macys			n/a	n/a		
262	https://www.macys.com/shop/featured/men%27s-fragrance?ss=true								262		men's fragrance	Mobile	Micheal Kors POC	n/a	Men's	Fragrance	n/a		US	Macys			n/a	n/a		
263	https://www.macys.com/shop/featured/mens-chronograph-watches?cm_kws_ac=men%27s+chrono&ss=true								263		mens chronograph watches	Mobile	Micheal Kors POC	n/a	Men's	Watches	n/a		US	Macys			n/a	n/a		
264	https://www.macys.com/shop/jewelry-watches/watches/mens?id=57386&cm_kws=men%27s-watches								264		men's watches	Mobile	Micheal Kors POC	n/a	Men's	Watches	n/a		US	Macys			n/a	n/a		
